sp_kmeans_2,sp_kmeans_3,sp_kmeans_4,sp_kmeans_5,sp_kmeans_6,sp_kmeans_7,sp_hierarchical_2,sp_hierarchical_3,sp_hierarchical_4,sp_hierarchical_5,sp_hierarchical_6,sp_hierarchical_7,sp_spectral_2,sp_spectral_3,sp_spectral_4,sp_spectral_5,sp_spectral_6,sp_spectral_7,pasfa_kmeans_2,pasfa_kmeans_3,pasfa_kmeans_4,pasfa_kmeans_5,pasfa_kmeans_6,pasfa_kmeans_7,pasfa_hierarchical_2,pasfa_hierarchical_3,pasfa_hierarchical_4,pasfa_hierarchical_5,pasfa_hierarchical_6,pasfa_hierarchical_7,pasfa_spectral_2,pasfa_spectral_3,pasfa_spectral_4,pasfa_spectral_5,pasfa_spectral_6,pasfa_spectral_7,amrhwt_kmeans_2,amrhwt_kmeans_3,amrhwt_kmeans_4,amrhwt_kmeans_5,amrhwt_kmeans_6,amrhwt_kmeans_7,amrhwt_hierarchical_2,amrhwt_hierarchical_3,amrhwt_hierarchical_4,amrhwt_hierarchical_5,amrhwt_hierarchical_6,amrhwt_hierarchical_7,amrhwt_spectral_2,amrhwt_spectral_3,amrhwt_spectral_4,amrhwt_spectral_5,amrhwt_spectral_6,amrhwt_spectral_7,ctnn_kmeans_2,ctnn_kmeans_3,ctnn_kmeans_4,ctnn_kmeans_5,ctnn_kmeans_6,ctnn_kmeans_7,ctnn_hierarchical_2,ctnn_hierarchical_3,ctnn_hierarchical_4,ctnn_hierarchical_5,ctnn_hierarchical_6,ctnn_hierarchical_7,ctnn_spectral_2,ctnn_spectral_3,ctnn_spectral_4,ctnn_spectral_5,ctnn_spectral_6,ctnn_spectral_7
0,2,2,0,3,4,0,2,2,2,0,6,0,0,1,3,0,0,0,0,0,1,0,2,0,2,0,4,4,1,0,2,2,4,1,1,1,0,3,3,0,3,0,2,2,0,4,4,0,2,2,2,1,0,0,0,1,0,3,2,0,1,0,4,4,4,1,0,3,4,0,4
0,2,2,0,2,1,0,0,3,1,1,0,0,0,1,3,0,0,0,1,0,1,0,2,0,2,0,4,4,1,0,2,2,3,1,1,0,1,0,2,1,6,1,0,3,3,3,3,1,2,2,2,1,6,1,1,0,1,0,4,1,0,3,3,3,3,0,1,1,4,0,4
0,1,1,0,2,1,1,1,0,3,3,1,0,0,1,3,0,0,0,1,1,1,5,6,1,1,1,0,2,2,0,1,2,4,2,1,1,2,2,1,2,1,0,1,0,4,1,1,0,1,0,3,4,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,2
1,2,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,2,1,1,3,6,0,1,1,0,4,2,1,0,1,1,0,2,1,0,1,4,2,5,1,1,0,1,0,4,1,0,3,3,3,3,0,1,2,3,5,1
1,0,3,1,5,3,0,0,1,0,2,2,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,4,2,0,1,1,0,3,2,1,0,1,1,0,6,1,0,1,4,5,4,1,1,0,4,2,3,1,0,1,1,0,2,0,1,2,1,3,3
1,0,0,3,4,0,0,0,1,0,2,2,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,4,2,1,2,3,1,5,5,0,2,2,0,4,4,0,1,3,2,1,6,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,4,1,2
1,2,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,0,1,1,1,5,6,1,1,1,0,2,2,0,1,0,3,4,5,0,1,0,2,1,6,1,0,3,3,3,3,1,0,3,2,1,6,1,1,0,4,1,0,1,0,1,1,0,2,0,1,3,4,0,4
1,2,2,3,4,0,0,2,2,2,0,3,0,0,1,3,0,0,1,2,3,4,3,1,0,2,0,1,1,0,1,0,3,0,1,2,1,0,3,1,5,5,0,2,2,0,4,4,0,2,3,2,1,6,0,0,3,0,3,2,0,1,0,4,4,4,1,0,3,4,2,0
1,0,3,1,5,3,0,0,1,0,2,2,0,0,1,3,0,0,1,2,3,2,1,4,0,0,2,2,0,4,1,0,3,0,0,2,0,1,1,0,4,6,1,0,1,1,0,2,1,0,1,4,2,5,1,1,0,4,2,3,1,0,1,1,0,2,0,1,2,1,3,3
1,0,3,1,4,3,0,0,1,0,2,2,0,0,1,3,0,0,1,2,3,2,1,4,0,0,2,2,0,6,1,0,3,0,0,3,1,0,3,3,5,5,0,2,2,0,4,4,0,2,3,2,1,6,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,4,1,2
1,0,3,1,4,3,0,0,1,0,2,2,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,2,3,3,4,2,0,1,0,2,1,0,0,2,2,0,4,4,1,0,3,2,1,6,1,1,0,4,1,0,1,0,1,1,0,2,0,1,1,4,0,4
1,2,0,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,0,0,0,1,0,5,0,2,0,1,1,0,0,2,0,3,4,5,1,0,3,1,5,5,0,2,2,0,4,4,0,1,3,2,1,6,0,0,3,2,1,0,1,0,1,1,0,2,1,0,3,4,0,4
1,0,3,1,4,3,0,0,1,0,2,2,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,4,2,0,1,0,2,1,0,1,0,3,3,3,3,1,0,3,2,1,6,1,1,0,4,1,0,1,0,1,1,0,2,0,1,3,4,0,4
1,0,2,3,4,0,0,0,3,1,1,0,0,0,1,3,0,0,1,2,3,2,1,4,0,0,2,2,0,4,1,0,3,0,0,2,0,0,0,2,1,0,0,2,2,0,4,4,1,0,3,2,1,6,1,1,0,1,1,0,1,0,1,1,0,2,0,1,1,4,0,4
1,0,3,1,5,3,0,0,1,0,2,2,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,4,2,0,1,1,0,3,2,1,0,1,1,0,2,1,0,1,4,5,4,1,1,0,4,2,3,1,0,1,1,0,2,0,1,2,1,3,3
1,0,2,3,4,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,4,2,1,0,3,1,5,5,0,2,2,0,4,4,0,1,3,2,1,6,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,4,1,2
1,0,3,1,4,3,0,0,1,0,2,2,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,4,2,0,1,0,2,1,0,0,2,2,0,4,4,1,0,3,2,1,6,1,1,0,4,1,0,1,0,1,1,0,2,0,1,3,4,0,4
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,2,3,2,1,1,0,0,2,2,0,4,1,0,3,0,0,2,1,0,3,3,5,5,0,2,2,0,4,4,0,2,3,2,1,6,0,2,1,0,1,0,0,1,0,2,2,0,1,0,1,4,0,4
1,0,3,1,5,3,0,0,1,0,2,2,0,0,1,3,0,0,1,0,3,4,3,5,0,2,0,1,1,0,1,0,3,3,4,2,0,1,0,2,1,6,1,0,3,3,3,3,1,2,1,2,1,6,1,1,0,4,2,3,1,0,1,1,0,2,0,1,2,4,0,4
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,0,5,0,2,0,1,1,0,1,2,3,3,4,2,1,2,3,1,5,5,0,2,2,0,4,4,0,1,3,2,1,6,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,4,1,2
1,0,3,1,4,3,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,0,1,1,0,3,2,1,0,3,3,3,3,1,0,1,4,5,4,1,1,0,4,2,3,1,0,1,1,0,2,0,1,2,4,0,4
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,2,3,2,1,1,0,0,2,2,0,4,1,0,3,0,0,2,1,0,3,1,5,5,0,1,0,4,1,1,0,1,3,2,1,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,4,1,0
1,0,2,3,4,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,4,2,0,1,1,0,4,6,1,0,1,1,0,2,1,0,2,0,2,5,1,1,0,1,1,0,1,0,1,1,0,2,0,1,1,4,0,4
1,0,3,1,4,3,0,0,1,0,2,2,0,0,1,3,0,0,1,2,3,2,1,4,0,0,2,2,0,4,1,0,3,0,0,3,1,2,3,1,5,5,0,2,2,0,4,4,0,1,3,2,1,6,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,4,0,4
0,1,1,4,0,2,1,1,0,4,4,4,1,2,2,1,1,6,0,1,1,0,2,6,1,1,1,0,2,2,0,1,2,2,2,0,1,0,3,1,5,5,0,1,0,4,1,1,0,2,3,1,0,3,0,2,1,0,3,5,0,1,0,2,2,0,1,2,0,2,4,5
1,0,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,0,5,0,2,0,1,1,0,1,2,3,3,4,2,0,1,1,0,3,2,1,0,1,1,0,2,1,0,1,4,5,6,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,3
0,2,2,0,2,4,0,2,2,2,0,6,0,0,1,3,0,0,0,0,0,1,0,2,0,2,0,4,4,1,0,2,2,3,1,1,1,0,3,3,5,5,0,2,2,0,4,4,0,2,3,2,1,1,0,0,1,0,3,2,0,1,0,4,4,4,1,0,3,4,0,4
1,2,2,3,3,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,0,5,0,2,0,4,4,1,1,2,2,3,1,1,0,1,1,2,4,6,1,0,1,1,0,2,1,0,1,4,2,5,1,1,0,1,0,4,1,0,3,3,3,3,0,1,1,4,5,1
0,1,1,4,0,2,1,1,0,4,4,4,1,2,2,1,1,6,0,1,1,0,5,6,1,1,1,0,2,2,0,1,2,4,2,0,1,2,2,4,2,1,0,1,0,2,2,0,0,1,0,3,4,2,0,2,1,0,3,5,0,1,0,2,2,0,1,2,0,2,4,5
1,0,3,1,4,3,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,0,1,1,0,4,2,1,0,1,1,0,2,1,0,1,4,2,5,1,1,0,4,2,3,1,0,1,1,0,2,0,1,2,1,3,3
0,2,2,0,2,4,0,2,2,2,0,6,0,0,3,0,3,1,0,0,0,1,0,2,0,2,0,4,4,1,0,2,2,4,1,1,1,0,3,1,5,5,0,2,2,0,4,4,0,2,3,2,1,1,0,2,1,0,3,2,0,1,0,2,2,0,1,0,3,4,0,0
1,0,0,2,4,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,1,0,2,0,1,1,0,1,0,3,3,1,2,0,1,1,2,4,6,1,0,1,1,0,2,1,0,1,4,2,5,1,1,2,1,0,4,1,0,3,3,3,3,0,1,1,3,5,1
0,1,1,4,0,2,1,1,0,4,4,4,1,2,2,1,1,6,0,1,1,0,5,6,1,1,1,0,2,2,0,1,2,4,2,0,1,2,2,1,2,1,0,1,0,4,1,1,0,1,0,1,4,2,0,0,1,0,3,5,0,1,0,2,2,0,1,0,0,2,4,5
1,2,2,3,3,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,0,1,0,2,1,6,1,0,3,3,3,3,1,0,1,4,0,3,1,1,2,1,0,4,1,0,3,3,3,3,0,1,1,4,0,4
0,2,2,0,2,1,1,1,0,3,3,1,0,0,1,3,0,0,0,0,0,1,0,2,0,2,0,4,4,1,0,2,2,3,1,1,1,2,2,1,5,5,0,1,0,4,1,1,0,1,3,1,4,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,2
1,0,0,2,4,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,0,1,1,0,3,2,1,0,1,1,0,2,1,0,1,4,5,4,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,3
0,1,1,0,2,4,1,1,0,3,3,1,0,0,3,0,3,1,0,1,1,1,5,2,1,1,1,0,2,2,0,2,2,4,2,1,1,2,2,1,5,5,0,1,0,4,1,1,0,1,3,1,4,1,0,2,1,0,3,5,0,2,2,0,5,5,1,2,0,2,4,5
1,0,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,0,1,0,2,4,6,1,0,3,3,3,3,1,0,1,4,5,6,1,1,0,1,0,4,1,0,3,3,3,3,0,1,1,4,0,4
0,2,2,0,2,1,1,1,0,3,3,1,0,0,1,3,0,0,0,1,1,0,5,6,1,1,1,0,2,2,0,1,0,3,4,5,1,2,3,1,5,5,0,2,2,0,4,4,0,1,3,2,1,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,2
1,0,3,1,4,3,0,0,1,0,2,2,0,0,1,3,0,0,1,2,3,4,3,1,0,2,0,1,1,0,1,0,3,0,0,2,0,1,1,0,3,2,1,0,1,1,0,6,1,0,1,4,5,4,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,3
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,2,3,2,1,4,0,0,2,2,0,4,1,0,3,0,0,2,1,2,2,1,5,5,0,2,2,0,4,4,0,1,3,2,1,1,0,0,3,0,3,2,0,1,0,2,2,0,1,0,3,4,2,0
1,2,2,3,3,5,0,2,2,2,0,3,0,0,1,3,0,0,0,0,0,1,0,5,0,2,0,1,1,0,1,2,3,3,4,2,0,1,0,2,1,6,1,0,3,3,3,3,1,0,3,2,1,6,1,1,0,4,2,0,1,0,1,1,0,2,0,1,1,4,0,4
1,2,2,3,3,1,1,1,0,3,3,1,0,0,1,3,0,0,0,1,0,1,0,2,0,2,0,4,4,1,0,2,2,3,1,1,1,0,3,1,5,5,0,2,2,0,4,4,0,2,3,1,0,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,2
1,0,0,2,4,3,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,0,1,1,0,4,2,1,0,1,1,0,2,1,0,1,4,2,5,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,3
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,3,4,3,1,0,2,0,1,1,0,1,0,3,3,1,2,1,2,3,1,0,3,0,1,0,4,1,1,0,1,0,2,3,0,0,0,3,0,3,2,0,1,0,4,4,4,1,0,3,4,2,0
1,2,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,2,3,4,3,1,0,0,2,2,0,4,1,0,3,0,3,2,0,1,1,2,4,6,1,0,3,3,3,3,1,0,1,2,1,6,1,1,2,1,0,4,1,0,3,3,3,3,0,1,1,3,5,1
0,2,2,3,3,1,0,2,2,2,0,3,0,0,1,3,0,0,0,1,1,1,5,6,1,1,1,0,2,2,0,1,0,3,4,5,1,2,2,1,2,1,0,1,0,2,2,0,0,1,0,3,4,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,2
1,0,3,1,4,3,0,0,1,0,2,2,0,0,1,3,0,0,1,2,3,2,1,1,0,0,2,2,0,4,1,0,3,0,0,2,0,1,1,2,4,6,1,0,3,3,3,3,1,0,1,2,1,6,1,1,0,4,2,3,1,0,1,1,0,2,0,1,2,1,3,3
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,3,4,3,1,0,0,2,2,0,4,1,0,3,1,3,6,1,2,3,1,5,5,0,1,0,4,1,1,0,1,3,2,1,6,0,0,3,2,3,2,0,1,0,4,4,4,1,0,3,4,2,0
1,0,0,2,4,3,0,0,3,1,1,0,0,0,1,3,0,0,1,2,3,2,1,4,0,0,2,2,0,4,1,0,3,0,0,6,0,0,0,2,1,0,1,0,3,3,3,3,1,2,2,0,1,6,1,1,2,1,0,4,1,0,3,3,3,3,0,1,1,4,5,1
0,2,2,0,2,1,1,1,0,3,3,1,0,0,1,3,0,0,0,1,1,1,5,6,1,1,1,0,2,2,0,1,2,4,1,1,1,2,2,1,5,5,0,1,0,4,1,1,0,1,3,1,4,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,0
1,0,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,2,3,3,1,2,0,1,1,0,3,2,1,0,1,1,0,2,1,0,1,4,5,4,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,3
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,2,3,2,1,1,0,0,2,2,0,4,1,0,3,0,0,2,1,0,3,1,5,5,0,2,2,0,4,4,0,1,3,2,1,6,0,0,3,2,5,2,0,1,0,4,4,4,1,0,3,4,2,0
1,0,0,2,4,3,0,0,3,1,1,0,0,0,1,3,0,0,1,2,3,2,1,4,0,0,2,2,0,4,1,0,3,0,0,2,0,1,1,2,4,6,1,0,1,1,0,2,1,0,1,4,5,6,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,3
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,0,1,1,1,5,2,0,2,0,4,4,1,0,2,2,3,1,1,1,2,2,1,5,5,0,1,0,4,1,1,0,1,3,1,4,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,2
1,0,0,2,4,3,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,0,1,1,0,4,2,1,0,1,1,0,2,1,0,1,4,2,5,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,3
1,2,2,3,3,0,0,0,3,1,1,0,0,0,1,3,0,0,1,0,3,4,3,1,0,2,0,1,1,0,1,0,3,3,1,2,0,1,0,2,4,6,1,0,3,3,3,3,1,0,1,2,1,6,1,1,2,1,0,4,1,0,3,3,3,3,0,1,1,3,5,1
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,3,4,3,1,0,2,0,1,1,0,1,0,3,3,1,2,1,0,3,3,5,5,0,2,2,0,4,4,0,2,3,2,1,6,0,2,1,0,4,5,0,1,0,2,2,0,1,2,1,4,2,0
1,0,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,2,3,3,1,2,0,1,0,2,1,6,1,0,3,3,3,3,1,0,1,2,1,6,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,3
0,2,2,0,2,4,0,2,2,2,0,6,0,0,1,3,0,1,0,0,0,1,0,2,0,2,0,4,4,1,0,2,2,4,1,1,1,2,2,1,2,1,0,1,0,4,1,1,0,1,0,3,4,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,2
1,2,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,4,2,0,1,1,0,4,2,1,0,1,1,0,2,1,0,1,4,2,5,1,1,0,1,0,4,1,0,3,3,3,3,0,1,1,4,5,1
0,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,0,5,0,2,0,4,4,1,1,2,3,3,1,2,1,2,2,4,2,1,0,1,0,2,2,0,0,1,0,3,4,2,0,0,1,0,3,2,0,1,0,2,2,0,1,0,0,2,2,0
1,2,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,0,1,1,0,3,2,1,0,1,1,0,6,1,0,1,4,5,4,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,1
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,3,1,0,2,0,1,1,0,1,0,3,3,1,2,1,2,2,1,2,1,0,1,0,4,1,1,0,1,0,3,3,0,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,0
1,2,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,3,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,0,1,0,2,1,0,1,0,3,3,3,3,1,2,3,2,1,6,1,1,2,1,0,4,1,0,3,3,3,3,0,1,1,3,5,1
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,2,3,3,1,2,1,2,2,1,5,1,0,1,0,4,1,1,0,1,3,3,4,1,0,0,3,0,3,2,0,1,0,2,2,0,1,0,3,2,2,0
1,0,0,2,4,3,0,0,3,1,1,0,0,0,1,3,0,0,1,2,3,2,1,4,0,0,2,2,0,4,1,0,3,0,0,6,0,1,1,0,4,2,1,0,1,1,0,2,1,0,1,4,2,5,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,3
0,2,2,0,2,4,0,2,2,2,0,6,0,0,1,3,0,0,1,0,0,4,0,5,0,2,0,1,1,0,1,2,2,3,1,1,1,2,2,1,2,1,0,1,0,4,1,1,0,1,0,3,4,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,4,1,0
1,0,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,2,3,4,3,1,0,0,2,2,0,4,1,0,3,0,3,6,0,1,1,0,3,2,1,0,1,1,0,6,1,0,1,4,5,4,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,1
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,3,1,0,2,0,1,1,0,1,0,3,3,1,2,1,2,2,4,2,1,0,1,0,2,2,0,0,1,0,3,4,2,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,2
1,2,0,3,3,0,0,0,3,1,1,0,0,0,1,3,0,0,1,2,3,2,1,4,0,0,2,2,0,4,1,0,3,0,0,3,0,1,1,2,4,6,1,0,1,1,0,2,1,0,2,2,2,5,1,1,2,1,0,4,1,0,3,3,3,3,0,2,1,3,5,1
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,1,2,2,1,2,1,0,1,0,2,2,0,0,1,0,3,4,2,0,0,3,0,3,2,0,1,0,2,2,0,1,0,0,2,1,0
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,2,3,3,1,2,1,2,3,3,0,3,0,1,0,4,1,1,0,2,2,2,3,0,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,4,1,4
1,0,0,2,4,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,3,4,3,1,0,2,0,1,1,0,1,0,3,3,1,2,0,1,1,0,4,6,1,0,1,1,0,2,1,0,1,2,1,6,1,1,0,4,2,3,1,0,3,3,3,3,0,1,1,4,3,1
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,1,0,3,1,5,5,0,2,2,0,4,4,0,2,3,1,0,1,0,0,3,0,3,2,0,1,0,2,2,0,1,0,3,0,1,0
1,2,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,0,0,0,1,0,2,0,2,0,4,4,1,0,2,2,3,1,1,0,1,0,2,1,0,1,0,3,3,3,3,1,2,3,0,0,3,1,1,2,1,0,4,1,0,3,3,3,3,0,1,1,3,5,1
0,2,2,0,2,4,0,2,2,2,0,6,0,0,1,3,0,1,0,0,0,1,0,2,0,2,0,4,4,1,0,2,2,4,1,1,1,2,2,4,2,1,0,1,0,4,1,1,0,1,0,3,4,2,0,0,3,0,3,2,0,1,0,2,2,0,1,0,3,0,4,5
0,2,1,0,2,1,1,1,0,3,3,1,0,0,1,3,0,0,0,1,1,1,5,2,1,1,1,0,2,2,0,2,2,4,2,1,0,1,0,2,1,6,1,0,3,3,3,3,1,2,2,0,2,3,1,1,2,1,0,4,1,0,3,3,3,3,0,1,1,3,5,1
0,2,2,0,2,4,0,2,2,2,0,6,0,0,1,3,0,0,0,0,0,1,0,2,0,2,0,4,4,1,0,2,2,3,1,1,1,0,3,1,5,5,0,2,2,0,4,4,0,2,3,2,1,1,0,2,1,0,3,2,0,1,0,2,2,0,1,2,3,4,2,0
1,2,2,3,3,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,2,3,3,1,2,0,1,0,2,1,0,1,0,3,3,3,3,1,2,2,2,1,6,1,1,2,1,0,4,1,0,3,3,3,3,0,2,1,3,5,1
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,3,1,0,2,0,1,1,0,1,0,3,3,1,2,1,2,2,1,2,1,0,1,0,4,1,1,0,1,0,3,4,1,0,0,3,2,5,6,0,1,0,2,2,0,1,0,3,0,1,0
0,1,1,0,2,1,0,2,2,2,0,6,0,0,1,3,0,0,0,1,1,1,5,6,1,1,1,0,2,2,0,1,2,4,2,1,0,1,0,2,1,0,1,0,3,3,3,3,1,2,2,0,0,3,1,1,2,1,0,4,1,0,3,3,3,3,0,1,1,3,5,1
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,0,0,0,1,0,5,0,2,0,1,1,0,1,2,3,3,4,2,0,0,0,3,1,0,0,2,2,0,4,4,1,2,2,0,1,1,0,0,3,2,5,2,0,1,0,4,4,4,1,0,3,4,0,4
1,2,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,0,3,3,1,2,0,1,0,2,1,0,1,0,3,3,3,3,1,0,1,1,0,3,1,1,0,4,1,0,1,0,1,1,0,2,0,1,1,4,0,4
0,2,2,0,2,4,0,2,2,2,0,6,0,0,1,3,0,0,0,0,0,1,0,2,0,2,0,4,4,1,0,2,2,3,1,1,1,2,2,1,2,1,0,1,0,4,1,1,0,1,0,3,3,0,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,4,0,4
0,1,1,0,2,1,1,1,0,3,3,1,0,0,1,3,0,0,0,1,1,1,5,6,1,1,1,0,2,2,0,1,2,4,2,1,0,1,0,2,1,0,1,0,3,3,3,3,1,2,2,0,2,3,1,1,0,1,0,4,1,0,3,3,3,3,0,1,1,3,5,1
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,0,0,0,1,0,5,0,2,0,1,1,0,1,2,3,3,4,2,1,0,3,3,0,3,0,2,2,0,5,5,0,2,2,0,3,0,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,4,1,0
1,2,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,2,3,3,1,2,0,1,1,2,4,6,1,0,1,1,0,2,1,0,1,4,2,5,1,1,2,1,0,4,1,0,3,3,3,3,0,1,1,3,5,1
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,2,3,3,1,2,1,2,2,1,2,1,0,1,0,4,1,1,0,1,0,3,4,1,0,0,3,2,5,2,0,1,0,4,4,4,1,0,3,4,0,4
1,2,0,2,1,5,0,0,3,1,1,0,0,0,1,3,0,0,1,0,0,4,3,5,0,2,0,1,1,0,1,2,3,3,1,2,0,1,1,2,4,6,1,0,3,3,3,3,1,0,1,2,2,5,1,1,0,4,2,3,1,0,1,1,0,6,0,1,2,1,3,3
1,2,2,3,3,0,0,2,2,2,0,3,0,0,1,3,0,0,0,0,0,1,0,5,0,2,0,1,1,0,1,2,3,3,4,2,1,0,3,3,5,5,0,2,2,0,4,4,0,2,3,1,0,1,0,0,3,2,5,6,0,1,0,4,4,4,1,0,3,0,1,2
